"V2025A","V2036","V2078","V2124","V2127B","V2129","V3012","V3018","V3023A","V3032","V3061","VS0005","VS0007","VS0017","VS0019","VS0020","VS0022","VS0025","VS0036","VS0037","VS0038","VS0039","VS0041","VS0042","VS0043","VS0045","VS0046","VS0047","VS0048","VS0049","VS0050","VS0051","VS0052","VS0053","VS0054","VS0055","VS0146","VS0147","VS0148","VS0149","VS0150","VS0151","VS0057","VS0152","VS0153","VS0154","VS0155","VS0069","VS0070","VS0112","VS0138","o_bullied"
2,2,3,2,3,2,3,1,1,5,1,1,1,7,1,1,9,1,1,1,3,3,3,2,1,3,3,3,2,2,2,2,2,2,2,3,2,2,99,2,2,2,2,2,2,99,2,1,2,1,2,0
2,2,3,2,3,2,4,2,1,5,1,2,1,7,2,9,12,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0
2,2,0,2,1,2,4,2,2,7,0,1,1,7,1,1,9,1,1,1,2,1,1,1,1,1,2,3,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,4,1,2,1,1,2,1,2,0
2,2,2,2,4,2,3,1,4,5,1,2,0,1,2,9,1,2,1,1,2,1,1,1,3,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0
1,2,4,2,3,1,4,2,1,2,1,3,1,2,1,1,6,1,2,1,2,1,1,1,1,1,4,3,1,3,2,1,2,1,1,2,1,1,1,1,2,2,1,3,3,3,3,2,2,2,2,0
2,2,2,2,3,1,4,2,4,12,1,2,0,6,1,2,8,1,1,1,2,1,1,1,1,1,2,3,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0
2,2,2,2,3,2,3,1,1,7,0,1,1,1,1,1,6,1,1,1,2,1,1,2,1,1,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,0
2,2,4,1,2,3,3,1,1,14,0,1,1,5,1,1,0,1,1,1,2,1,1,2,1,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
1,2,2,2,3,2,3,1,2,1,1,1,1,5,1,1,9,1,1,2,2,2,1,2,1,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0
2,2,2,1,4,1,9,1,1,12,0,2,1,2,1,1,6,3,1,1,2,1,1,2,1,1,4,3,2,2,3,3,3,2,3,3,3,3,2,2,2,2,3,3,2,3,2,2,2,2,1,0
2,2,2,2,4,2,3,1,2,3,1,2,1,7,1,2,9,1,1,3,2,1,3,1,1,2,3,3,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,0
1,2,2,2,3,2,3,1,2,1,1,1,1,5,1,1,9,1,1,2,2,2,1,2,1,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0
2,2,1,2,4,2,9,2,8,98,0,2,1,4,1,1,9,1,1,1,2,1,3,2,1,1,3,3,1,1,1,1,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
