"V2026","V3012","V3018","V3020","V3032","V3033","VS0005","VS0007","VS0017","VS0022","VS0023","VS0025","VS0034","VS0046","VS0047","VS0048","VS0049","VS0050","VS0051","VS0052","VS0053","VS0054","VS0055","VS0146","VS0147","VS0148","VS0149","VS0150","VS0151","VS0057","VS0152","VS0153","VS0154","VS0155","VS0058","VS0059","VS0069","VS0070","VS0112","VS0136","VS0138","o_bullied"
12,4,2,8,2,2,1,1,3,6,8,1,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,"0"
98,3,1,6,3,1,1,1,2,6,8,1,2,3,3,2,1,1,2,3,2,1,2,1,1,1,2,1,1,1,3,1,1,1,2,2,2,2,2,2,2,"0"
14,3,1,6,13,99,1,1,2,7,12,1,1,3,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,"0"
98,4,2,9,15,99,2,1,7,9,12,1,1,3,3,1,2,1,1,1,2,2,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,"0"
14,3,1,8,8,99,1,1,4,9,12,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,1,4,1,4,1,2,3,1,2,2,2,3,"0"
98,4,2,8,8,99,1,1,5,9,12,1,1,2,3,1,2,1,1,1,1,1,3,3,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,2,1,"0"
12,3,1,11,3,1,1,1,5,9,12,2,2,3,4,3,2,3,2,2,2,2,3,2,2,2,2,2,2,1,2,2,3,2,2,2,1,2,1,1,2,"0"
98,4,2,9,16,99,1,1,5,9,12,4,1,3,3,1,1,4,2,2,3,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,3,"0"
12,9,2,5,7,99,2,1,1,0,6,1,2,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,"0"
98,4,2,9,5,99,1,1,4,9,9,2,1,1,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,1,2,2,2,2,3,3,1,2,2,2,2,"0"
