"V2022","V2023","V2025A","V2026","V2036","V2078","V2124","V2125","V2126B","V2127B","V2128B","V2129","V3012","V3018","V3020","V3023A","V3032","V3061","V3062","V3064","VS0005","VS0007","VS0017","VS0019","VS0020","VS0022","VS0023","VS0025","VS0028","VS0036","VS0037","VS0038","VS0039","VS0041","VS0042","VS0043","VS0045","VS0046","VS0047","VS0048","VS0049","VS0050","VS0051","VS0052","VS0053","VS0054","VS0055","VS0146","VS0147","VS0148","VS0149","VS0150","VS0151","VS0057","VS0152","VS0153","VS0154","VS0155","VS0069","VS0070","VS0112","VS0138","o_bullied"
1,1,2,14,1,3,2,1,16,4,1,2,3,1,7,1,99,1,0,0,1,1,2,1,1,6,8,2,2,2,2,2,1,4,2,2,1,3,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1
1,1,2,12,2,3,2,1,20,3,4,1,4,2,8,4,2,0,0,1,1,1,3,1,1,6,8,1,2,1,1,2,1,1,1,1,1,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
1,8,2,98,2,2,2,1,17,2,1,1,3,1,6,4,3,1,0,0,1,1,2,1,1,6,8,1,2,2,1,3,1,2,1,2,3,3,3,2,1,1,2,3,2,1,2,1,1,1,2,1,1,1,3,1,1,1,2,2,2,2,0
8,1,2,98,2,1,2,1,21,4,1,1,3,1,10,1,12,0,0,1,4,1,6,1,1,9,12,1,2,1,2,2,1,4,1,1,1,2,3,2,2,1,3,2,2,2,4,2,2,2,2,2,2,1,3,1,2,2,1,1,2,2,0
1,8,2,14,2,4,2,2,13,2,1,2,3,1,6,1,13,1,0,0,1,1,2,1,1,7,12,1,2,1,1,3,1,1,1,1,2,3,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,0
1,8,2,98,2,1,2,1,23,1,1,1,4,2,9,2,15,0,0,1,2,1,7,1,1,9,12,1,2,1,1,1,1,1,1,1,1,3,3,1,2,1,1,1,2,2,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,0
1,1,2,14,2,2,2,1,18,3,1,1,4,2,6,1,2,1,0,0,1,1,2,1,1,6,8,2,2,1,3,2,1,3,2,3,1,2,2,2,2,2,1,2,1,1,3,2,2,2,1,1,1,2,2,2,2,2,1,2,2,1,1
1,1,2,10,2,2,2,1,19,3,1,1,3,1,6,1,1,0,0,1,1,1,1,1,1,0,6,1,2,2,1,2,1,2,2,1,1,4,4,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,3,1
1,1,2,13,2,4,2,1,21,4,1,1,4,2,11,1,17,1,0,0,1,1,6,1,1,9,12,1,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
1,1,2,14,2,3,2,1,16,2,1,2,3,1,8,1,8,1,0,0,1,1,4,1,1,9,12,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,1,4,1,4,1,1,2,2,3,0
